"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\src\guard\RequireAdminAuth.js", "JavaScript", 36, 0, 0, 0, 0, 69, 15, 120
"e:\Workspace\Project-laptop-shop\client\src\guard\RequireAuth.js", "JavaScript", 20, 0, 0, 0, 0, 70, 11, 101
"e:\Workspace\Project-laptop-shop\client\src\guard\md\REQUIRE_ADMIN_AUTH_EXPLANATION.md", "HTML", 0, 238, 0, 0, 0, 0, 71, 309
"e:\Workspace\Project-laptop-shop\client\src\guard\md\REQUIRE_AUTH_EXPLANATION.md", "HTML", 0, 300, 0, 0, 0, 0, 90, 390
"e:\Workspace\Project-laptop-shop\client\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 3, 2, 18
"e:\Workspace\Project-laptop-shop\client\src\layouts\AdminLayout.js", "JavaScript", 28, 0, 0, 0, 0, 65, 5, 98
"e:\Workspace\Project-laptop-shop\client\src\layouts\MainLayout.js", "JavaScript", 21, 0, 0, 0, 0, 22, 3, 46
"e:\Workspace\Project-laptop-shop\client\src\layouts\md\ADMIN_LAYOUT_EXPLANATION.md", "HTML", 0, 301, 0, 0, 0, 0, 90, 391
"e:\Workspace\Project-laptop-shop\client\src\layouts\md\MAIN_LAYOUT_EXPLANATION.md", "HTML", 0, 191, 0, 0, 0, 0, 64, 255
"e:\Workspace\Project-laptop-shop\client\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\Workspace\Project-laptop-shop\client\src\pages\About.js", "JavaScript", 133, 0, 0, 0, 0, 1, 11, 145
"e:\Workspace\Project-laptop-shop\client\src\pages\Cart.js", "JavaScript", 231, 0, 0, 0, 0, 5, 14, 250
"e:\Workspace\Project-laptop-shop\client\src\pages\Checkout.js", "JavaScript", 306, 0, 0, 0, 0, 9, 34, 349
"e:\Workspace\Project-laptop-shop\client\src\pages\Detail.js", "JavaScript", 392, 0, 0, 0, 0, 13, 41, 446
"e:\Workspace\Project-laptop-shop\client\src\pages\Document.js", "JavaScript", 294, 0, 0, 0, 0, 2, 6, 302
"e:\Workspace\Project-laptop-shop\client\src\pages\FavoriteProduct.js", "JavaScript", 233, 0, 0, 0, 0, 10, 31, 274
"e:\Workspace\Project-laptop-shop\client\src\pages\Feedback.js", "JavaScript", 392, 0, 0, 0, 0, 9, 16, 417
